year,taz,work,nonwork
2012,6,2476,4046
2012,7,173,284
2012,8,337,795
2012,9,486,1146
2012,10,38529,22300
2012,12,22228,31155
2014,6,2617,4276
2014,7,193,317
2014,8,349,823
2014,9,495,1168
2014,10,40213,23275
2014,12,22709,31829
2015,6,2687,4392
2015,7,203,333
2015,8,355,837
2015,9,499,1179
2015,10,41056,23762
2015,12,22950,32167
2016,6,2807,4588
2016,7,190,312
2016,8,371,875
2016,9,486,1146
2016,10,46951,27175
2016,12,23190,32503
2017,6,2875,4698
2017,7,202,331
2017,8,376,888
2017,9,491,1159
2017,10,47884,27714
2017,12,23399,32796
2020,6,3078,5031
2020,7,235,386
2020,8,393,926
2020,9,508,1199
2020,10,50680,29333
2020,12,24025,33674
2023,6,3281,5363
2023,7,269,442
2023,8,409,964
2023,9,524,1238
2023,10,53477,30952
2023,12,24651,34552
2025,6,3417,5585
2025,7,292,479
2025,8,420,990
2025,9,535,1264
2025,10,55342,32031
2025,11,1069,1705
2025,12,25069,35137
2026,6,3485,5696
2026,7,303,497
2026,8,425,1003
2026,9,541,1277
2026,10,56274,32571
2026,11,1188,1895
2026,12,25278,35430
2029,6,3688,6028
2029,7,337,553
2029,8,442,1041
2029,9,557,1316
2029,10,59071,34189
2029,11,1544,2463
2029,12,25904,36307
2030,6,3756,6139
2030,7,348,571
2030,8,447,1054
2030,9,563,1329
2030,10,60003,34729
2030,11,1663,2653
2030,12,26113,36600
2032,6,3892,6361
2032,7,370,608
2032,8,458,1080
2032,9,574,1355
2032,10,61867,35808
2032,11,1931,3001
2032,12,26531,37186
2035,6,4095,6693
2035,7,404,664
2035,8,474,1118
2035,9,590,1394
2035,10,64664,37427
2035,11,2333,3523
2035,12,27157,38064
2040,6,4337,7088
2040,7,428,703
2040,8,501,1183
2040,9,608,1435
2040,10,68426,39604
2040,11,2323,3706
2040,12,27960,39189
2045,6,4579,7484
2045,7,452,742
2045,8,529,1248
2045,9,625,1476
2045,10,72187,41781
2045,11,2390,3813
2045,12,28763,40315
2050,6,4821,7879
2050,7,476,781
2050,8,557,1313
2050,9,643,1517
2050,10,75948,43958
2050,11,2540,3836
2050,12,29566,41440
