coefficient_name,value,constrain
1,0.0,F
coef_escorting_tour,0.0,F
coef_discretionary_tour,0.0,F
coef_shopping_tour,0.0,F
coef_maintenance_tour,0.0,F
coef_visiting_or_social_tour,0.0,F
coef_eating_out_tour,0.0,F
coef_total_indNM_tours_is_0_prior_tours,0.0,F
coef_total_indNM_tours_is_1,0.0,F
coef_total_indNM_tours_is_2,0.0,F
coef_total_indNM_tours_is_3p,0.0,F
coef_total_indNM_tours_2016_is_1,0.0,F
coef_total_indNM_tours_2016_is_2p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_1,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_2,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_3p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_1,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_2,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_3p,0.0,F
coef_prev_school_escort_tours,0.0,F
coef_unavailable,-999.0,T
coef_zero_auto_iNM_tour_freq_1,0.0,F
coef_zero_auto_iNM_tour_freq_2p,0.0,F
coef_auto_deficient_iNM_tour_freq_1,0.0,F
coef_auto_deficient_iNM_tour_freq_2,0.0,F
coef_auto_deficient_iNM_tour_freq_3p,0.0,F
coef_num_children_escort,0.0,F
coef_num_full_time_workers_eatout,0.0,F
coef_hhsize_eatout,0.0,F
coef_age_18to24_escort,0.0,F
coef_age_18to24_shopping,0.0,F
coef_age_18to24_eatout,0.0,F
coef_age_24to35_escort,0.0,F
coef_age_24to35_shopping,0.0,F
coef_age_50to79_escort,0.0,F
coef_age_50to79_othdiscr,0.0,F
coef_log_max_time_window_escort,0.0,F
coef_log_max_time_window_shopping,0.0,F
coef_log_max_time_window_othmaint,0.0,F
coef_log_max_time_window_eatout,0.0,F
coef_log_max_time_window_social,0.0,F
coef_log_max_time_window_othdiscr,0.0,F
coef_shopping_accessibility_shopping,0.0,F
coef_shopping_accessibility_maintenance,0.0,F
coef_othdiscr_accessibility_eating_out,0.0,F
coef_othdiscr_accessibility_othdiscr,0.0,F
