coefficient_name,value,constrain
coef_escorting_tour,0.0,F
coef_discretionary_tour,0.0,F
coef_shopping_tour,0.0,F
coef_maintenance_tour,0.0,F
coef_visiting_or_social_tour,0.0,F
coef_eating_out_tour,0.0,F
coef_total_indNM_tours_is_0_prior_tours,0.0,F
coef_total_indNM_tours_is_1,0.0,F
coef_total_indNM_tours_is_2p,0.0,F
coef_total_indNM_tours_2016_is_2p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_1,0.0,F
coef_low_income_escort,0.0,F
coef_low_income_shopping,0.0,F
coef_medium_high_income_shopping,0.0,F
coef_high_income_othdiscr,0.0,F
coef_num_full_time_workers_escort,0.0,F
coef_num_full_time_workers_othdiscr,0.0,F
coef_hhsize_escort,0.0,F
coef_hhsize_shopping,0.0,F
coef_hhsize_eatout,0.0,F
coef_log_total_hours_available_7am_to_10pm_escort,0.0,F
coef_log_total_hours_available_7am_to_10pm_shopping,0.0,F
coef_log_total_hours_available_7am_to_10pm_othmaint,0.0,F
coef_log_total_hours_available_7am_to_10pm_eatout,0.0,F
coef_log_total_hours_available_7am_to_10pm_social,0.0,F
coef_log_total_hours_available_7am_to_10pm_othdiscr,0.0,F
coef_consecutive_hours_available_7am_to_10pm_othmaint,0.0,F
coef_shopping_accessibility_escorting,0.0,F
coef_shopping_accessibility_maintenance,0.0,F
coef_othdiscr_accessibility_social,0.0,F
