"TOURPURP","TRIP_ID","tempid","freq1.x","freq2.x","freq3.x","freq4.x","freq5.x","freq6.x","freq7.x","freq8.x","freq9.x","freq10.x","freq11.x","freq12.x","freq13.x","freq14.x","freq15.x","freq16.x","freq17.x","freq18.x","freq19.x","freq20.x","freq21.x","freq22.x","freq23.x","freq24.x","freq25.x","freq26.x","freq27.x","freq28.x","freq29.x","freq30.x","freq31.x","freq32.x","freq33.x","freq34.x","freq35.x","freq36.x","freq37.x","freq38.x","freq39.x","freq40.x","IS_INBOUND.x","NEXT_DEST_ARR_BIN","freq1.y","freq2.y","freq3.y","freq4.y","freq5.y","freq6.y","freq7.y","freq8.y","freq9.y","freq10.y","freq11.y","freq12.y","freq13.y","freq14.y","freq15.y","freq16.y","freq17.y","freq18.y","freq19.y","freq20.y","freq21.y","freq22.y","freq23.y","freq24.y","freq25.y","freq26.y","freq27.y","freq28.y","freq29.y","freq30.y","freq31.y","freq32.y","freq33.y","freq34.y","freq35.y","freq36.y","freq37.y","freq38.y","freq39.y","freq40.y","tempid1","IS_INBOUND.y","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","p1","p2","p3","p4","p5","p6","p7","p8"
7,3,71023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,1,1154.35962833333,491.65309,876.429423333333,6446.2360457559,1622.947025,0,39.31134,32.71615,0.108251802693376,0.0461055047196264,0.0821884815448112,0.604505437831021,0.152194287481934,0,0.00368647977358352,0.00306800595564853
7,4,71024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,1,312.139366666667,143.480865,356.73110440678,3953.24032,54.675535,8.70626,0,4.9137,0.0645731596355845,0.0296822951210472,0.0737979794020557,0.817818082311275,0.0113108836204127,0.00180108879829076,0,0.00101651111133383
7,1,71031,0,0,62.31361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1,0,158.6616,62.31361,163265.839492307,3468.55594768866,3824.71115333333,1420.12091166667,587.484216045078,0,0.000918245986262444,0.000360636866589164,0.944892789481383,0.0200740921375547,0.0221353223789596,0.00821887795878322,0.00340003519046783
7,2,71032,0,0,16.27155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,1,1104.595995,343.931377701361,990.59108,10111.8746135137,2360.30646,142.68654,60.43699,1277.28955,0.0673874671632043,0.0209820282946491,0.0604324333763885,0.616889452398019,0.1439938898822,0.00870479756617371,0.00368704548767435,0.0779228858316917
7,3,71033,0,0,16.27155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,1,1154.35962833333,491.65309,876.429423333333,6446.2360457559,1622.947025,0,39.31134,32.71615,0.108251802693376,0.0461055047196264,0.0821884815448112,0.604505437831021,0.152194287481934,0,0.00368647977358352,0.00306800595564853
7,4,71034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,1,312.139366666667,143.480865,356.73110440678,3953.24032,54.675535,8.70626,0,4.9137,0.0645731596355845,0.0296822951210472,0.0737979794020557,0.817818082311275,0.0113108836204127,0.00180108879829076,0,0.00101651111133383
7,1,71041,0,0,0,79.494800282465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1,0,158.6616,62.31361,163265.839492307,3468.55594768866,3824.71115333333,1420.12091166667,587.484216045078,0,0.000918245986262444,0.000360636866589164,0.944892789481383,0.0200740921375547,0.0221353223789596,0.00821887795878322,0.00340003519046783
7,2,71042,0,6.53326666666667,0,194.41256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,1,1104.595995,343.931377701361,990.59108,10111.8746135137,2360.30646,142.68654,60.43699,1277.28955,0.0673874671632043,0.0209820282946491,0.0604324333763885,0.616889452398019,0.1439938898822,0.00870479756617371,0.00368704548767435,0.0779228858316917
7,3,71043,0,0,0,194.41256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,1,1154.35962833333,491.65309,876.429423333333,6446.2360457559,1622.947025,0,39.31134,32.71615,0.108251802693376,0.0461055047196264,0.0821884815448112,0.604505437831021,0.152194287481934,0,0.00368647977358352,0.00306800595564853
7,4,71044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,1,312.139366666667,143.480865,356.73110440678,3953.24032,54.675535,8.70626,0,4.9137,0.0645731596355845,0.0296822951210472,0.0737979794020557,0.817818082311275,0.0113108836204127,0.00180108879829076,0,0.00101651111133383
