coefficient_name,value,constrain
c_ivt_base,-0.021,F
c_cost,-0.005,F
s2_ASC_tour_da,-1.217751991,F
s2_ASC_tour_s2,0.754487534,F
s2_ASC_tour_s3,1.4795,F
s2_ASC_tour_walk,0.720563166,F
s3_ASC_tour_da,-5.94072945,F
s3_ASC_tour_s2,-5.352435619,F
s3_ASC_tour_s3,2.066856465,F
s3_ASC_tour_walk,1.429926496,F
walk_ASC_tour_da,1.956542441,F
walk_ASC_tour_s2,1.738202593,F
walk_ASC_tour_s3,2.611486054,F
walk_ASC_tour_walk,5.909869597,F
walk_transit_ASC_tour_da,-3.479012765,F
walk_transit_ASC_tour_s2,-2.156872452,F
walk_transit_ASC_tour_s3,-1.633702397,F
walk_transit_ASC_tour_walk,3.456636484,F
taxi_ASC_tour_da,-5,F
taxi_ASC_tour_s2,-5,F
taxi_ASC_tour_s3,-5,F
taxi_ASC_tour_walk,-5,F
tnc_single_ASC_tour_da,-5,F
tnc_single_ASC_tour_s2,-5,F
tnc_single_ASC_tour_s3,-5,F
tnc_single_ASC_tour_walk,-5,F
tnc_shared_ASC_tour_da,-10,F
tnc_shared_ASC_tour_s2,-10,F
tnc_shared_ASC_tour_s3,-10,F
tnc_shared_ASC_tour_walk,-10,F
s2_sentri_coef,-0.531,F
s2_ready_coef,0,F
s2_work_tour_coef,-0.797,F
s2_calib_adj_tour_da,0.128,F
s2_calib_adj_tour_s2,-0.5901,F
s2_calib_adj_tour_s3,-0.8562,F
s2_calib_adj_tour_walk,-0.6874,F
s2_abm2_calib_adj_tour_da,0.1177,F
s2_abm2_calib_adj_tour_s2,0.1003,F
s2_abm2_calib_adj_tour_s3,0.0927,F
s2_abm2_calib_adj_tour_walk,0.0615,F
s3_sentri_coef,-0.8825,F
s3_ready_coef,0,F
s3_work_tour_coef,-0.7525,F
s3_calib_adj_tour_da,0.3012,F
s3_calib_adj_tour_s2,-1.1094,F
s3_calib_adj_tour_s3,-1.3324,F
s3_calib_adj_tour_walk,-1.0476,F
s3_abm2_calib_adj_tour_da,0.1114,F
s3_abm2_calib_adj_tour_s2,0.1173,F
s3_abm2_calib_adj_tour_s3,0.1219,F
s3_abm2_calib_adj_tour_walk,-0.0099,F
walk_sentri_coef,-0.3875,F
walk_ready_coef,0,F
walk_calib_adj_tour_da,0.2003,F
walk_calib_adj_tour_s2,-0.0579,F
walk_calib_adj_tour_s3,-0.4514,F
walk_calib_adj_tour_walk,-0.0762,F
walk_abm2_calib_adj_tour_da,-0.8643,F
walk_abm2_calib_adj_tour_s2,-0.7036,F
walk_abm2_calib_adj_tour_s3,-0.6691,F
walk_abm2_calib_adj_tour_walk,-1.1779,F
walk_transit_sentri_coef,0.6285,F
walk_transit_ready_coef,0,F
walk_transit_calib_adj_tour_da,-0.7947,F
walk_transit_calib_adj_tour_s2,-2.0305,F
walk_transit_calib_adj_tour_s3,-2.4453,F
walk_transit_calib_adj_tour_walk,-2.6149,F
walk_transit_abm2_calib_adj_tour_da,-0.253,F
walk_transit_abm2_calib_adj_tour_s2,-0.3951,F
walk_transit_abm2_calib_adj_tour_s3,-0.4158,F
walk_transit_abm2_calib_adj_tour_walk,-0.3565,F
walk_transit_abm2_calib_adj_transit,-0.2,F
coef_s2,0.226030009,F
coef_s3,-0.186170648,F
coef_walk,-1.474384474,F
coef_walk_transi,0.889660866,F
coef_taxi,4.374349754,F
