coefficient_name,value,constrain
coef_zero,0.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,0.5,T
coef_nest_NONMOTORIZED,0.5,T
coef_nest_MICROMOBILITY,0.5,T
coef_nest_TRANSIT,0.5,T
coef_nest_RIDEHAIL,0.5,T
coef_nest_SCHOOL_BUS,0.5,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_PNRACCESS,0.5,T
coef_nest_TRANSIT_KNRACCESS,0.5,T
coef_nest_TRANSIT_TNCACCESS,0.5,T
coef_unavailable,-999.0,T
#,0.0,
coef_ivt_work,-0.032,F
coef_ivt_univ,-0.032,F
coef_ivt_school,-0.02,F
coef_ivt_maint,-0.034,F
coef_ivt_disc,-0.03,F
coef_ivt_atwork,-0.064,F
coef_rel_work,-0.384,F
coef_rel_univ,-0.384,F
coef_rel_school,-0.24,F
coef_rel_maint,-0.408,F
coef_rel_disc,-0.36,F
coef_rel_atwork,-0.768,F
coef_income_work,-1.25,F
coef_income_univ,-0.524,F
coef_income_school,-0.524,F
coef_income_maint,-0.524,F
coef_income_disc,-0.524,F
coef_income_atwork,-0.524,F
coef_walktime_work,-0.0848,F
coef_walktime_univ,-0.0848,F
coef_walktime_school,-0.053,F
coef_walktime_maint,-0.0901,F
coef_walktime_disc,-0.0795,F
coef_walktime_atwork,-0.1696,F
coef_wait_work,-0.048,F
coef_wait_univ,-0.048,F
coef_wait_school,-0.03,F
coef_wait_maint,-0.051,F
coef_wait_disc,-0.045,F
coef_wait_atwork,-0.096,F
coef_xwait_work,-0.064,F
coef_xwait_univ,-0.064,F
coef_xwait_school,-0.04,F
coef_xwait_maint,-0.068,F
coef_xwait_disc,-0.06,F
coef_xwait_atwork,-0.128,F
coef_xfer_work,-0.048,F
coef_xfer_univ,-0.048,F
coef_xfer_school,-0.03,F
coef_xfer_maint,-0.051,F
coef_xfer_disc,-0.045,F
coef_xfer_atwork,-0.096,F
coef_xferdrive_work,-0.064,F
coef_xferdrive_univ,-0.064,F
coef_xferdrive_school,-0.04,F
coef_xferdrive_maint,-0.068,F
coef_xferdrive_disc,-0.06,F
coef_xferdrive_atwork,-0.128,F
coef_acctime_work,-0.064,F
coef_acctime_univ,-0.064,F
coef_acctime_school,-0.04,F
coef_acctime_maint,-0.068,F
coef_acctime_disc,-0.06,F
coef_acctime_atwork,-0.128,F
coef_xwalk_work,-0.064,F
coef_xwalk_univ,-0.064,F
coef_xwalk_school,-0.04,F
coef_xwalk_maint,-0.068,F
coef_xwalk_disc,-0.06,F
coef_xwalk_atwork,-0.128,F
#,0.0,
coef_oMix_nmot_work,0.22519,F
coef_oMix_wTran_work,0.0,F
coef_oIntDen_nmot_work,0.0,F
coef_oIntDen_wTran_work,0.0,F
coef_dEmpDen_nmot_work,0.0,F
coef_dEmpDen_wTran_work,0.0,F
coef_dEmpDen_dTran_work,0.02512,F
coef_female_sr2_work,0.2743,F
coef_female_sr3p_work,0.0718,F
coef_female_tran_work,1.0624,F
coef_female_nmot_work,-1.1033,F
coef_size2_sr2_work,0.0,F
coef_size2_sr3p_work,0.0,F
coef_size3_sr2_work,0.0,F
coef_size3_sr3p_work,0.0,F
coef_size4p_sr2_work,0.0,F
coef_size4p_sr3p_work,0.0,F
coef_bikeLogsum_work,0.06717,F
#,0.0,
coef_oMix_nmot_univ,0.0,F
coef_oMix_wTran_univ,0.0,F
coef_oIntDen_nmot_univ,0.0,F
coef_oIntDen_wTran_univ,0.0,F
coef_dEmpDen_nmot_univ,0.0,F
coef_dEmpDen_wTran_univ,0.0,F
coef_dEmpDen_dTran_univ,0.0,F
coef_female_sr2_univ,-0.7308,F
coef_female_sr3p_univ,-1.11759,F
coef_female_tran_univ,0.0,F
coef_female_nmot_univ,0.0,F
coef_size2_sr2_univ,0.0,F
coef_size2_sr3p_univ,0.0,F
coef_size3_sr2_univ,0.0,F
coef_size3_sr3p_univ,0.0,F
coef_size4p_sr2_univ,0.0,F
coef_size4p_sr3p_univ,0.0,F
coef_bikeLogsum_univ,0.06717,F
#,0.0,
coef_oMix_nmot_school,0.0,F
coef_oMix_wTran_school,0.0,F
coef_oIntDen_nmot_school,0.0,F
coef_oIntDen_wTran_school,0.0,F
coef_dEmpDen_nmot_school,0.0,F
coef_dEmpDen_wTran_school,0.0,F
coef_dEmpDen_dTran_school,0.0,F
coef_female_sr2_school,0.0,F
coef_female_sr3p_school,0.0,F
coef_female_tran_school,0.0,F
coef_female_nmot_school,0.0,F
coef_age1to5_nmot_school,-1.711,F
coef_age6to12_nmot_school,-0.762,F
coef_age13to15_nmot_school,-0.312,F
coef_age6to12_schb_school,0.0,F
coef_size2_sr2_school,0.0,F
coef_size2_sr3p_school,0.0,F
coef_size3_sr2_school,0.0,F
coef_size3_sr3p_school,0.0,F
coef_size4p_sr2_school,0.0,F
coef_size4p_sr3p_school,0.0,F
coef_bikeLogsum_school,0.06717,F
#,0.0,
coef_oMix_nmot_maint,0.0,F
coef_oMix_wTran_maint,0.0,F
coef_oIntDen_nmot_maint,0.0,F
coef_oIntDen_wTran_maint,0.0,F
coef_dEmpDen_nmot_maint,0.093,F
coef_dEmpDen_wTran_maint,0.0,F
coef_dEmpDen_dTran_maint,0.0,F
coef_female_sr2_maint,0.0,F
coef_female_sr3p_maint,0.0,F
coef_female_tran_maint,0.0,F
coef_female_nmot_maint,0.0,F
coef_size2_sr2_maint,0.0,F
coef_size2_sr3p_maint,0.0,F
coef_size3_sr2_maint,-0.416,F
coef_size3_sr3p_maint,0.792,F
coef_size4p_sr2_maint,-0.444,F
coef_size4p_sr3p_maint,0.424,F
coef_bikeLogsum_maint,0.06717,F
#,0.0,
coef_oMix_nmot_disc,0.275,F
coef_oMix_wTran_disc,0.0,F
coef_oIntDen_nmot_disc,0.0,F
coef_oIntDen_wTran_disc,0.0,F
coef_dEmpDen_nmot_disc,0.0,F
coef_dEmpDen_wTran_disc,0.0,F
coef_dEmpDen_dTran_disc,0.0,F
coef_female_sr2_disc,0.0,F
coef_female_sr3p_disc,0.0,F
coef_female_tran_disc,-2.736,F
coef_female_nmot_disc,0.0,F
coef_size2_sr2_disc,0.0,F
coef_size2_sr3p_disc,0.0,F
coef_size3_sr2_disc,0.958,F
coef_size3_sr3p_disc,0.695,F
coef_size4p_sr2_disc,0.958,F
coef_size4p_sr3p_disc,0.695,F
coef_bikeLogsum_disc,0.06717,F
#,0.0,
coef_oMix_nmot_atwork,0.0,F
coef_oMix_wTran_atwork,0.0,F
coef_oIntDen_nmot_atwork,0.0,F
coef_oIntDen_wTran_atwork,0.0,F
coef_dEmpDen_nmot_atwork,0.0,F
coef_dEmpDen_wTran_atwork,0.0,F
coef_dEmpDen_dTran_atwork,0.0,F
coef_female_sr2_atwork,0.0,F
coef_female_sr3p_atwork,0.0,F
coef_female_tran_atwork,0.0,F
coef_female_nmot_atwork,0.0,F
coef_size2_sr2_atwork,0.0,F
coef_size2_sr3p_atwork,0.0,F
