coefficient_name,value,constrain
coef_zero,0.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,0.5,T
coef_nest_NONMOTORIZED,0.5,T
coef_nest_MICROMOBILITY,0.5,T
coef_nest_TRANSIT,0.5,T
coef_nest_RIDEHAIL,0.5,T
coef_nest_SCHOOL_BUS,0.5,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_PNRACCESS,0.5,T
coef_nest_TRANSIT_KNRACCESS,0.5,T
coef_nest_TRANSIT_TNCACCESS,0.5,T
coef_ivt_work,-0.016,F
coef_ivt_univ,-0.016,F
coef_ivt_school,-0.01,F
coef_ivt_maint,-0.017,F
coef_ivt_disc,-0.015,F
coef_ivt_atwork,-0.032,F
coef_rel_out_work,-0.224,F
coef_rel_out_univ,-0.192,F
coef_rel_out_school,-0.12,F
coef_rel_out_maint,-0.204,F
coef_rel_out_disc,-0.18,F
coef_rel_out_atwork,-0.384,F
coef_rel_inb_work,-0.192,F
coef_rel_inb_univ,-0.192,F
coef_rel_inb_school,-0.12,F
coef_rel_inb_maint,-0.204,F
coef_rel_inb_disc,-0.18,F
coef_rel_inb_atwork,-0.384,F
coef_income_work,-0.625,F
coef_income_univ,-0.262,F
coef_income_school,-0.262,F
coef_income_maint,-0.262,F
coef_income_disc,-0.262,F
coef_income_atwork,-0.262,F
coef_walktime_work,-0.0424,F
coef_walktime_univ,-0.0424,F
coef_walktime_school,-0.068,F
coef_walktime_maint,-0.03995,F
coef_walktime_disc,-0.045,F
coef_walktime_atwork,-0.0848,F
coef_bikels_work,0.134333061,F
coef_bikels_univ,0.134333061,F
coef_bikels_school,0.214932897,F
coef_bikels_maint,0.22,F
coef_bikels_disc,0.22,F
coef_bikels_atwork,0.23,F
coef_wait_work,-0.024,F
coef_wait_univ,-0.024,F
coef_wait_school,-0.015,F
coef_wait_maint,-0.0255,F
coef_wait_disc,-0.0225,F
coef_wait_atwork,-0.048,F
coef_xwalk_work,-0.04,F
coef_xwalk_univ,-0.04,F
coef_xwalk_school,-0.025,F
coef_xwalk_maint,-0.0425,F
coef_xwalk_disc,-0.0375,F
coef_xwalk_atwork,-0.08,F
coef_xwait_work,-0.032,F
coef_xwait_univ,-0.032,F
coef_xwait_school,-0.02,F
coef_xwait_maint,-0.034,F
coef_xwait_disc,-0.03,F
coef_xwait_atwork,-0.064,F
coef_xfer_work,-0.024,F
coef_xfer_univ,-0.024,F
coef_xfer_school,-0.015,F
coef_xfer_maint,-0.0255,F
coef_xfer_disc,-0.0225,F
coef_xfer_atwork,-0.048,F
coef_xferdrive_work,-0.032,F
coef_xferdrive_univ,-0.032,F
coef_xferdrive_school,-0.02,F
coef_xferdrive_maint,-0.034,F
coef_xferdrive_disc,-0.03,F
coef_xferdrive_atwork,-0.064,F
coef_acctime_work,-0.032,F
coef_acctime_univ,-0.032,F
coef_acctime_school,-0.02,F
coef_acctime_maint,-0.034,F
coef_acctime_disc,-0.03,F
coef_acctime_atwork,-0.064,F
coef_oMix_nmot_work,0.210144,F
coef_oMix_wTran_work,0.0,F
coef_oIntDen_nmot_work,0.002998,F
coef_oIntDen_wTran_work,0.0,F
coef_dEmpDen_nmot_work,0.020707,F
coef_dEmpDen_wTran_work,0.0,F
coef_dEmpDen_dTran_work,0.0,F
coef_age1624_sr2_work,-0.21388,F
coef_age1624_sr3p_work,-1.79023,F
coef_age1624_nmot_work,0.303216,F
coef_age1624_tran_work,0.794718,F
coef_age4155_sr2_work,-0.30638,F
coef_age4155_sr3p_work,-0.41025,F
coef_age4155_nmot_work,-0.17752,F
coef_age4155_tran_work,-0.42301,F
coef_age5664_sr2_work,-1.02962,F
coef_age5664_sr3p_work,-0.85641,F
coef_age5664_nmot_work,-0.64534,F
coef_age5664_tran_work,-0.44991,F
coef_age65pl_sr2_work,-0.67111,F
coef_age65pl_sr3p_work,-1.43462,F
coef_age65pl_nmot_work,-1.45334,F
coef_age65pl_tran_work,-1.1231,F
coef_female_sr2_work,0.594728,F
coef_female_sr3p_work,0.848064,F
coef_female_tran_work,0.157786,F
coef_female_nmot_work,0.0,F
coef_ageund16_bike_work,0.0,F
coef_age1624_bike_work,0.0,F
coef_age4155_bike_work,-0.73111,F
coef_age5664_bike_work,-0.64352,F
coef_age65pl_bike_work,-1.54867,F
coef_female_bike_work,-1.19364,F
coef_inc100plus_bike_work,0.641381,F
coef_LUnorm_bike_work,0.083266,F
coef_oMlCoast_bike_work,-1.42018,F
coef_oMlCoast2p_bike_work,1.335076,F
coef_oMlCoast5p_bike_work,0.079563,F
coef_ageund16_walk_work,2.188395,F
coef_age1624_walk_work,1.430593,F
coef_age4155_walk_work,-0.43207,F
coef_age5664_walk_work,-0.51999,F
coef_age65pl_walk_work,-0.83162,F
coef_female_walk_work,0.0,F
coef_inc60100_walk_work,-0.20839,F
coef_LUnorm_walk_work,0.009309,F
coef_dEmpNorm_walk_work,0.099811,F
coef_hhsize2_sr2_work,1.069642353,F
coef_hhsize2_sr3p_work,-0.467357298,F
coef_hhsize3_sr2_work,1.58018418,F
coef_hhsize3_sr3p_work,0.654631352,F
coef_hhsize4p_sr2_work,1.688389262,F
coef_hhsize4p_sr3p_work,1.49870326,F
coef_oMix_nmot_univ,0.122315,F
coef_oMix_wTran_univ,0.0,F
coef_oIntDen_nmot_univ,0.009072,F
coef_oIntDen_wTran_univ,0.0,F
coef_dEmpDen_nmot_univ,0.081786,F
coef_dEmpDen_wTran_univ,0.0,F
coef_dEmpDen_dTran_univ,0.0,F
coef_age1624_sr2_univ,0.0,F
coef_age1624_sr3p_univ,0.0,F
coef_age1624_nmot_univ,0.0,F
coef_age1624_tran_univ,0.461169,F
coef_age4155_sr2_univ,0.0,F
coef_age4155_sr3p_univ,0.0,F
coef_age4155_nmot_univ,0.0,F
coef_age4155_tran_univ,0.0,F
coef_age5664_sr2_univ,0.0,F
coef_age5664_sr3p_univ,0.0,F
coef_age5664_nmot_univ,0.0,F
coef_age5664_tran_univ,0.0,F
coef_age65pl_sr2_univ,0.0,F
coef_age65pl_sr3p_univ,0.0,F
coef_age65pl_nmot_univ,0.0,F
coef_age65pl_tran_univ,0.0,F
coef_female_sr2_univ,0.0,F
coef_female_sr3p_univ,0.0,F
coef_female_tran_univ,0.0,F
coef_female_nmot_univ,0.0,F
coef_ageund16_bike_univ,0.0,F
coef_age1624_bike_univ,0.0,F
coef_age4155_bike_univ,-0.73111,F
coef_age5664_bike_univ,-0.64352,F
coef_age65pl_bike_univ,-1.54867,F
coef_female_bike_univ,-1.19364,F
coef_inc100plus_bike_univ,0.641381,F
coef_LUnorm_bike_univ,0.083266,F
coef_oMlCoast_bike_univ,0.0,F
coef_oMlCoast2p_bike_univ,0.0,F
coef_oMlCoast5p_bike_univ,0.0,F
coef_ageund16_walk_univ,2.188395,F
coef_age1624_walk_univ,1.430593,F
coef_age4155_walk_univ,-0.43207,F
coef_age5664_walk_univ,-0.51999,F
