trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2462665
01: SOV,01: SOV,2: University,143083
01: SOV,01: SOV,3: School,32760
01: SOV,01: SOV,4: Escort,653668
01: SOV,01: SOV,5: Individual Maintenance,991102
01: SOV,01: SOV,6: Individual Discretionary,564367
01: SOV,01: SOV,9: Work-based,135839
01: SOV,02: Shared Ride 2,1: Work,299445
01: SOV,02: Shared Ride 2,2: University,17715
01: SOV,02: Shared Ride 2,3: School,468
01: SOV,02: Shared Ride 2,4: Escort,270781
01: SOV,02: Shared Ride 2,5: Individual Maintenance,147868
01: SOV,02: Shared Ride 2,6: Individual Discretionary,71550
01: SOV,02: Shared Ride 2,9: Work-based,5674
01: SOV,03: Shared Ride 3+,1: Work,115957
01: SOV,03: Shared Ride 3+,2: University,5487
01: SOV,03: Shared Ride 3+,3: School,3151
01: SOV,03: Shared Ride 3+,4: Escort,104378
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,67279
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,27039
01: SOV,03: Shared Ride 3+,9: Work-based,787
01: SOV,07: PNR to Transit,1: Work,1602
01: SOV,07: PNR to Transit,2: University,193
01: SOV,07: PNR to Transit,5: Individual Maintenance,82
02: Shared Ride 2,02: Shared Ride 2,1: Work,318093
02: Shared Ride 2,02: Shared Ride 2,2: University,37505
02: Shared Ride 2,02: Shared Ride 2,3: School,573930
02: Shared Ride 2,02: Shared Ride 2,4: Escort,655067
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,291844
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,273576
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,194287
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,122786
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,37340
02: Shared Ride 2,03: Shared Ride 3+,1: Work,41252
02: Shared Ride 2,03: Shared Ride 3+,2: University,4862
02: Shared Ride 2,03: Shared Ride 3+,3: School,125998
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,212141
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,125474
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,55751
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,5606
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,2764
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1808
02: Shared Ride 2,06: Walk to Transit,1: Work,4100
02: Shared Ride 2,06: Walk to Transit,2: University,2087
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,320
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,1797
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,132
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,7
02: Shared Ride 2,07: PNR to Transit,1: Work,1623
