model_selector,segment,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,adultschenrl,hh    
tour_od_choice,work   ,0.143 ,1.275                  ,0.147                    ,1.275             ,0.147               ,1.275              ,0.147                ,1.275       ,0.147         ,1.275        ,1.275    ,0.429     ,0.143            ,0.143                       ,0.143         ,0.143                  ,0.143     ,0.147                   ,0.265        ,0.265    ,0.265             ,0.143                   ,0.143        ,0.143     ,0.143                  ,0.143          ,0.143      ,0.143                   ,0.143                    ,0.143        ,0.143                 ,0.143            ,0.143               ,0.143        ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
tour_od_choice,school ,0.0000,0.0000                 ,0.0000                   ,0.0000            ,0.0000              ,0.0000             ,0.0000               ,0.0000      ,0.0000        ,0.0000       ,0.0000   ,0.0000    ,0.0000           ,0.0000                      ,0.0000        ,0.0000                 ,0.0000    ,0.0000                  ,0.0000       ,0.0000   ,0.0000            ,0.0000                  ,0.0000       ,0.0000    ,0.0000                 ,0.0000         ,0.0000     ,0.0000                  ,0.0000                   ,0.0000       ,0.0000                ,0.0000           ,0.0000              ,0.0000       ,2.702          ,2.702           ,1.0000       ,1.0000            ,1.0000      ,0.0000
tour_od_choice,shop   ,1.4910,0.0000                 ,0.0000                   ,1.4910            ,0.0000              ,0.0000             ,0.0000               ,1.4910      ,0.0000        ,1.4910       ,1.4910   ,1.0000    ,1.4910           ,1.4910                      ,1.4910        ,1.4910                 ,1.4910    ,0.0000                  ,1.538        ,1.538    ,1.538             ,1.4910                  ,1.4910       ,1.4910    ,1.4910                 ,1.4910         ,1.4910     ,1.4910                  ,1.4910                   ,1.4910       ,1.4910                ,1.4910           ,1.4910              ,1.4910       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,0.0000
tour_od_choice,visit  ,0.1150,0.0000                 ,0.0000                   ,0.1150            ,0.0000              ,0.0000             ,0.0000               ,0.1150      ,0.0000        ,0.1150       ,0.1150   ,0.307     ,0.1150           ,0.1150                      ,0.1150        ,0.1150                 ,0.1150    ,0.0000                  ,0.177        ,0.177    ,0.177             ,0.1150                  ,0.1150       ,0.1150    ,0.1150                 ,0.1150         ,0.1150     ,0.1150                  ,0.1150                   ,0.1150       ,0.1150                ,0.1150           ,0.1150              ,0.1150       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
tour_od_choice,other  ,0.1150,0.0000                 ,0.0000                   ,0.1150            ,0.0000              ,0.0000             ,0.0000               ,0.1150      ,0.0000        ,0.1150       ,0.1150   ,0.307     ,0.1150           ,0.1150                      ,0.1150        ,0.1150                 ,0.1150    ,0.0000                  ,0.177        ,0.177    ,0.177             ,0.1150                  ,0.1150       ,0.1150    ,0.1150                 ,0.1150         ,0.1150     ,0.1150                  ,0.1150                   ,0.1150       ,0.1150                ,0.1150           ,0.1150              ,0.1150       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
trip          ,work   ,0.143 ,1.275                  ,0.147                    ,1.275             ,0.147               ,1.275              ,0.147                ,1.275       ,0.147         ,1.275        ,1.275    ,0.429     ,0.143            ,0.143                       ,0.143         ,0.143                  ,0.143     ,0.147                   ,0.265        ,0.265    ,0.265             ,0.143                   ,0.143        ,0.143     ,0.143                  ,0.143          ,0.143      ,0.143                   ,0.143                    ,0.143        ,0.143                 ,0.143            ,0.143               ,0.143        ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
trip          ,school ,0.0000,0.0000                 ,0.0000                   ,0.0000            ,0.0000              ,0.0000             ,0.0000               ,0.0000      ,0.0000        ,0.0000       ,0.0000   ,0.0000    ,0.0000           ,0.0000                      ,0.0000        ,0.0000                 ,0.0000    ,0.0000                  ,0.0000       ,0.0000   ,0.0000            ,0.0000                  ,0.0000       ,0.0000    ,0.0000                 ,0.0000         ,0.0000     ,0.0000                  ,0.0000                   ,0.0000       ,0.0000                ,0.0000           ,0.0000              ,0.0000       ,2.702          ,2.702           ,1.0000       ,1.0000            ,1.0000      ,0.0000
trip          ,shop   ,1.4910,0.0000                 ,0.0000                   ,1.4910            ,0.0000              ,0.0000             ,0.0000               ,1.4910      ,0.0000        ,1.4910       ,1.4910   ,1.0000    ,1.4910           ,1.4910                      ,1.4910        ,1.4910                 ,1.4910    ,0.0000                  ,1.538        ,1.538    ,1.538             ,1.4910                  ,1.4910       ,1.4910    ,1.4910                 ,1.4910         ,1.4910     ,1.4910                  ,1.4910                   ,1.4910       ,1.4910                ,1.4910           ,1.4910              ,1.4910       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,0.0000
trip          ,visit  ,0.1150,0.0000                 ,0.0000                   ,0.1150            ,0.0000              ,0.0000             ,0.0000               ,0.1150      ,0.0000        ,0.1150       ,0.1150   ,0.307     ,0.1150           ,0.1150                      ,0.1150        ,0.1150                 ,0.1150    ,0.0000                  ,0.177        ,0.177    ,0.177             ,0.1150                  ,0.1150       ,0.1150    ,0.1150                 ,0.1150         ,0.1150     ,0.1150                  ,0.1150                   ,0.1150       ,0.1150                ,0.1150           ,0.1150              ,0.1150       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
trip          ,other  ,0.1150,0.0000                 ,0.0000                   ,0.1150            ,0.0000              ,0.0000             ,0.0000               ,0.1150      ,0.0000        ,0.1150       ,0.1150   ,0.307     ,0.1150           ,0.1150                      ,0.1150        ,0.1150                 ,0.1150    ,0.0000                  ,0.177        ,0.177    ,0.177             ,0.1150                  ,0.1150       ,0.1150    ,0.1150                 ,0.1150         ,0.1150     ,0.1150                  ,0.1150                   ,0.1150       ,0.1150                ,0.1150           ,0.1150              ,0.1150       ,0.0000         ,0.0000          ,0.0000       ,0.0000            ,0.0000      ,1.0000
