USER_Accou,Status,Score,Match_addr,LongLabel,ShortLabel,Subregion,Region,Postal,PostalExt,CntryName,X,Y,ExInfo,StrucType,StrucDet,IN_Neighbo,USER_Sleep,USER_Total,USER_Large,USER_Class,USER_Theat,USER_Banqu,USER_Numbe,USER_Mobil,USER_AAA_R,USER_TMD_A,MGRA,TAZ
Andaz San Diego,M,96.80000000000,"600 F St, San Diego, California, 92101","600 F St, San Diego, CA, 92101, USA",600 F St,San Diego County,California,92101,6310,United States,-117.15875202700,32.71365312520,DOWNTOWN,Commercial,Lodging,Downtown,159.00000000000,11000.00000000000,3290.00000000000,165.00000000000,275.00000000000,220.00000000000,5.00000000000,,4 Diamond,Yes,407,1896
Alma San Diego,M,96.19000000000,"1047 5th Ave, San Diego, California, 92101","1047 5th Ave, San Diego, CA, 92101, USA",1047 5th Ave,San Diego County,California,92101,5101,United States,-117.16016060500,32.71638516460,DOWNTOWN | DOWNTOWN,Commercial,Lodging,Downtown,211.00000000000,20000.00000000000,3060.00000000000,128.00000000000,310.00000000000,180.00000000000,10.00000000000,4 Star,4 Diamond,Yes,7047,1873
Beach Village at The Del,M,99.11000000000,"1500 Orange Ave, Coronado, California, 92118","1500 Orange Ave, Coronado, CA, 92118, USA",1500 Orange Ave,San Diego County,California,92118,2918,United States,-117.17591707500,32.67953479790,CORONADO,Commercial,,Coronado,78.00000000000,67019.00000000000,15130.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,No,3938,1555
Bahia Resort Hotel,M,94.85000000000,"998 W Mission Bay Dr, San Diego, California, 92109","998 W Mission Bay Dr, San Diego, CA, 92109, USA",998 W Mission Bay Dr,San Diego County,California,92109,7803,United States,-117.24714699100,32.77143067340,MISSION BAY BEACHES | MISSION BAY BEACHES,,,Mission Bay/Beaches,313.00000000000,24000.00000000000,8000.00000000000,450.00000000000,880.00000000000,450.00000000000,14.00000000000,,,Yes,5897,719
Best Western Plus Island Palms Hotel & Marina,M,76.38000000000,"Shelter Island Dr, San Diego, California, 92106","Shelter Island Dr, San Diego, CA, 92106, USA",Shelter Island Dr,San Diego County,California,92106,2740,United States,-117.22996491800,32.72198698120,2051 | HARBOR ISLAND SHELTER ISLAND | POINT LOMA HARBOR ISLAND SHELTER ISLAND,,,"Point Loma, Harbor Island & Shelter Island",227.00000000000,6300.00000000000,2000.00000000000,120.00000000000,175.00000000000,180.00000000000,7.00000000000,2 Star,3 Diamond,Yes,11231,1024
Coronado Island Marriott Resort & Spa,M,99.11000000000,"2000 2nd St, Coronado, California, 92118","2000 2nd St, Coronado, CA, 92118, USA",2000 2nd St,San Diego County,California,92118,1551,United States,-117.16683695900,32.69464535760,CORONADO,Commercial,Lodging,Coronado,300.00000000000,25000.00000000000,7455.00000000000,540.00000000000,800.00000000000,630.00000000000,14.00000000000,3 Star,4 Diamond,No,5360,1700
Catamaran Resort Hotel and Spa,M,94.93000000000,"3999 Mission Blvd, San Diego, California, 92109","3999 Mission Blvd, San Diego, CA, 92109, USA",3999 Mission Blvd,San Diego County,California,92109,6959,United States,-117.25337038600,32.78992785740,MISSION BAY BEACHES | MISSION BAY BEACHES,Commercial,Lodging,Mission Bay/Beaches,310.00000000000,15000.00000000000,4876.00000000000,225.00000000000,425.00000000000,350.00000000000,11.00000000000,,3 Diamond,Yes,11452,603
Courtyard by Marriott San Diego Airport Liberty Station,M,92.84000000000,"2592 Laning Rd, San Diego, California, 92106","2592 Laning Rd, San Diego, CA, 92106, USA",2592 Laning Rd,San Diego County,California,92106,6418,United States,-117.21632480500,32.72943281230,POINT LOMA HARBOR ISLAND SHELTER ISLAND | POINT LOMA HARBOR ISLAND SHELTER ISLAND,Commercial,Lodging,"Point Loma, Harbor Island & Shelter Island",200.00000000000,5000.00000000000,4590.00000000000,252.00000000000,500.00000000000,350.00000000000,4.00000000000,4 Star,3 Diamond,Yes,24284,1168
Cosmopolitan Hotel,M,94.94000000000,"2660 Calhoun St, San Diego, California, 92110","2660 Calhoun St, San Diego, CA, 92110, USA",2660 Calhoun St,San Diego County,California,92110,2705,United States,-117.19654636300,32.75451540610,OLD TOWN | MISSION VALLEY OLD TOWN,,,Mission Valley/Old Town,10.00000000000,7511.00000000000,1088.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,Yes,5581,1376
Courtyard by Marriott San Diego Mission Valley,M,96.02000000000,"595 Hotel Cir S, San Diego, California, 92108","595 Hotel Cir S, San Diego, CA, 92108, USA",595 Hotel Cir S,San Diego County,California,92108,3403,United States,-117.16840202800,32.76049023620,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,317.00000000000,8000.00000000000,2200.00000000000,120.00000000000,220.00000000000,180.00000000000,10.00000000000,3 Star,3 Diamond,Yes,11361,1693
DoubleTree by Hilton San Diego Bayside,M,92.99000000000,"4875 N Harbor Dr, San Diego, California, 92106","4875 N Harbor Dr, San Diego, CA, 92106, USA",4875 N Harbor Dr,San Diego County,California,92106,2304,United States,-117.22352192600,32.72580918980,POINT LOMA HARBOR ISLAND SHELTER ISLAND | POINT LOMA HARBOR ISLAND SHELTER ISLAND,Commercial,Lodging,"Point Loma, Harbor Island & Shelter Island",292.00000000000,12000.00000000000,3400.00000000000,150.00000000000,320.00000000000,250.00000000000,9.00000000000,3 Star,3 Diamond,Yes,8460,1069
DoubleTree by Hilton San Diego Del Mar,M,94.55000000000,"11915 El Camino Real, San Diego, California, 92130","11915 El Camino Real, San Diego, CA, 92130, USA",11915 El Camino Real,San Diego County,California,92130,2539,United States,-117.23719675000,32.93521561800,NORTH COUNTY COASTAL | NORTH COUNTY COASTAL,Commercial,Lodging,North County Coastal,224.00000000000,5387.00000000000,1200.00000000000,70.00000000000,110.00000000000,90.00000000000,8.00000000000,3 Star,3 Diamond,Yes,6181,939
DoubleTree by Hilton San Diego - Hotel Circle,M,96.07000000000,"1515 Hotel Cir S, San Diego, California, 92108","1515 Hotel Cir S, San Diego, CA, 92108, USA",1515 Hotel Cir S,San Diego County,California,92108,3409,United States,-117.17683279800,32.75897189640,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,219.00000000000,10000.00000000000,3200.00000000000,150.00000000000,200.00000000000,180.00000000000,7.00000000000,3 Star,3 Diamond,Yes,8492,1532
Embassy Suites Hotel San Diego Bay - Downtown,M,96.95000000000,"601 Pacific Hwy, San Diego, California, 92101","601 Pacific Hwy, San Diego, CA, 92101, USA",601 Pacific Hwy,San Diego County,California,92101,5914,United States,-117.17094702500,32.71204685920,DOWNTOWN,Commercial,Lodging,Downtown,337.00000000000,5000.00000000000,2032.00000000000,150.00000000000,200.00000000000,180.00000000000,6.00000000000,3 Star,3 Diamond,Yes,8930,1642
DoubleTree by Hilton San Diego Mission Valley,M,96.26000000000,"7450 Hazard Center Dr, San Diego, California, 92108","7450 Hazard Center Dr, San Diego, CA, 92108, USA",7450 Hazard Center Dr,San Diego County,California,92108,4539,United States,-117.15986204200,32.76944286320,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,300.00000000000,32000.00000000000,8192.00000000000,624.00000000000,950.00000000000,600.00000000000,20.00000000000,3 Star,3 Diamond,Yes,5298,1904
Estancia La Jolla Hotel & Spa,M,97.57000000000,"9700 N Torrey Pines Rd, La Jolla, California, 92037","9700 N Torrey Pines Rd, La Jolla, CA, 92037, USA",9700 N Torrey Pines Rd,San Diego County,California,92037,1102,United States,-117.24403067100,32.88386627810,LA JOLLA,,,La Jolla,210.00000000000,22190.00000000000,6864.00000000000,396.00000000000,766.00000000000,440.00000000000,16.00000000000,,4 Diamond,Yes,3774,702
Embassy Suites Hotel San Diego - La Jolla,M,98.23000000000,"4550 La Jolla Village Dr, San Diego, California, 92122","4550 La Jolla Village Dr, San Diego, CA, 92122, USA",4550 La Jolla Village Dr,San Diego County,California,92122,1248,United States,-117.20847842200,32.87402588080,LA JOLLA,Commercial,Lodging,La Jolla,340.00000000000,7000.00000000000,1600.00000000000,120.00000000000,200.00000000000,150.00000000000,6.00000000000,3 Star,3 Diamond,Yes,14003,1280
Glorietta Bay Inn,M,99.13000000000,"1630 Glorietta Blvd, Coronado, California, 92118","1630 Glorietta Blvd, Coronado, CA, 92118, USA",1630 Glorietta Blvd,San Diego County,California,92118,2913,United States,-117.17616626900,32.68149247520,CORONADO,Commercial,Lodging,Coronado,100.00000000000,6000.00000000000,1000.00000000000,10.00000000000,20.00000000000,200.00000000000,5.00000000000,3 Star,3 Diamond,No,1163,1555
Fairmont Grand Del Mar,M,94.55000000000,"5300 Grand del Mar Ct, San Diego, California, 92130","5300 Grand del Mar Ct, San Diego, CA, 92130, USA",5300 Grand del Mar Ct,San Diego County,California,92130,4901,United States,-117.19783508100,32.93848770340,NORTH COUNTY COASTAL | NORTH COUNTY COASTAL,Commercial,Lodging,North County Coastal,234.00000000000,20000.00000000000,9702.00000000000,400.00000000000,950.00000000000,700.00000000000,11.00000000000,5 Star,5 Diamond,Yes,5391,1495
Grande Colonial Hotel,M,99.07000000000,"910 Prospect St, La Jolla, California, 92037","910 Prospect St, La Jolla, CA, 92037, USA",910 Prospect St,San Diego County,California,92037,4144,United States,-117.27510105700,32.84714084250,LA JOLLA,Commercial,Lodging,La Jolla,97.00000000000,5302.00000000000,1000.00000000000,50.00000000000,70.00000000000,65.00000000000,6.00000000000,4 Star,4 Diamond,Yes,944,378
Four Points by Sheraton San Diego,M,93.94000000000,"8110 Aero Dr, San Diego, California, 92123","8110 Aero Dr, San Diego, CA, 92123, USA",8110 Aero Dr,San Diego County,California,92123,1715,United States,-117.14865543700,32.80966015660,MISSION VALLEY OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,223.00000000000,13845.00000000000,7400.00000000000,300.00000000000,1000.00000000000,600.00000000000,10.00000000000,3 Star,3 Diamond,Yes,4729,2232
Hard Rock Hotel San Diego,M,96.10000000000,"207 5th Ave, San Diego, California, 92101","207 5th Ave, San Diego, CA, 92101, USA",207 5th Ave,San Diego County,California,92101,6908,United States,-117.16008600600,32.70786110440,DOWNTOWN | DOWNTOWN,,,Downtown,420.00000000000,40000.00000000000,9170.00000000000,425.00000000000,800.00000000000,500.00000000000,21.00000000000,4 Star,4 Diamond,Yes,3293,1882
Handlery Hotel San Diego,M,96.02000000000,"950 Hotel Cir N, San Diego, California, 92108","950 Hotel Cir N, San Diego, CA, 92108, USA",950 Hotel Cir N,San Diego County,California,92108,2902,United States,-117.17321684500,32.76026388290,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,217.00000000000,18315.00000000000,4000.00000000000,240.00000000000,350.00000000000,320.00000000000,13.00000000000,3 Star,3 Diamond,Yes,11368,1591
Hilton San Diego Bayfront Hotel,M,96.93000000000,"1 Park Blvd, San Diego, California, 92101","1 Park Blvd, San Diego, CA, 92101, USA",1 Park Blvd,San Diego County,California,92101,7897,United States,-117.16018164400,32.70430265120,DOWNTOWN,Commercial,Lodging,Downtown,1190.00000000000,165000.00000000000,34000.00000000000,2340.00000000000,3575.00000000000,3000.00000000000,35.00000000000,4 Star,4 Diamond,Yes,10728,1908
Hilton San Diego Airport Harbor Island,M,93.13000000000,"1960 Harbor Island Dr, San Diego, California, 92101","1960 Harbor Island Dr, San Diego, CA, 92101, USA",1960 Harbor Island Dr,San Diego County,California,92101,1013,United States,-117.20894688600,32.72479393180,POINT LOMA HARBOR ISLAND SHELTER ISLAND | POINT LOMA HARBOR ISLAND SHELTER ISLAND,Commercial,Lodging,"Point Loma, Harbor Island & Shelter Island",211.00000000000,6779.00000000000,3240.00000000000,150.00000000000,300.00000000000,250.00000000000,7.00000000000,3 Star,3 Diamond,Yes,11236,1348
Hilton La Jolla Torrey Pines,M,99.15000000000,"10950 N Torrey Pines Rd, La Jolla, California, 92037","10950 N Torrey Pines Rd, La Jolla, CA, 92037, USA",10950 N Torrey Pines Rd,San Diego County,California,92037,1006,United States,-117.24295344100,32.90215181790,LA JOLLA,Commercial,Lodging,La Jolla,394.00000000000,35000.00000000000,12035.00000000000,810.00000000000,1370.00000000000,1050.00000000000,21.00000000000,,,Yes,6760,665
