distbin,District,purpose,value
1,1: Downtown,Work,0
2,1: Downtown,Work,0
3,1: Downtown,Work,0
4,1: Downtown,Work,0
5,1: Downtown,Work,0
6,1: Downtown,Work,0
7,1: Downtown,Work,0
8,1: Downtown,Work,0
9,1: Downtown,Work,0
10,1: Downtown,Work,0
11,1: Downtown,Work,0
12,1: Downtown,Work,0
13,1: Downtown,Work,0
14,1: Downtown,Work,0
15,1: Downtown,Work,0
16,1: Downtown,Work,0
17,1: Downtown,Work,0
18,1: Downtown,Work,0
19,1: Downtown,Work,0
20,1: Downtown,Work,0
21,1: Downtown,Work,0
22,1: Downtown,Work,0
23,1: Downtown,Work,0
24,1: Downtown,Work,14
25,1: Downtown,Work,0
26,1: Downtown,Work,0
27,1: Downtown,Work,0
28,1: Downtown,Work,0
29,1: Downtown,Work,0
30,1: Downtown,Work,0
31,1: Downtown,Work,0
32,1: Downtown,Work,0
33,1: Downtown,Work,0
34,1: Downtown,Work,0
35,1: Downtown,Work,0
36,1: Downtown,Work,0
37,1: Downtown,Work,0
38,1: Downtown,Work,0
39,1: Downtown,Work,0
40,1: Downtown,Work,0
41,1: Downtown,Work,0
42,1: Downtown,Work,0
43,1: Downtown,Work,0
44,1: Downtown,Work,0
45,1: Downtown,Work,0
46,1: Downtown,Work,0
47,1: Downtown,Work,0
48,1: Downtown,Work,0
49,1: Downtown,Work,0
50,1: Downtown,Work,0
51,1: Downtown,Work,0
52,1: Downtown,Work,0
53,1: Downtown,Work,0
54,1: Downtown,Work,0
55,1: Downtown,Work,0
56,1: Downtown,Work,0
57,1: Downtown,Work,0
58,1: Downtown,Work,0
59,1: Downtown,Work,0
60,1: Downtown,Work,0
61,1: Downtown,Work,0
62,1: Downtown,Work,0
63,1: Downtown,Work,0
64,1: Downtown,Work,0
65,1: Downtown,Work,0
66,1: Downtown,Work,0
67,1: Downtown,Work,0
68,1: Downtown,Work,0
69,1: Downtown,Work,0
70,1: Downtown,Work,0
71,1: Downtown,Work,0
72,1: Downtown,Work,0
73,1: Downtown,Work,0
74,1: Downtown,Work,0
75,1: Downtown,Work,0
76,1: Downtown,Work,0
77,1: Downtown,Work,0
78,1: Downtown,Work,0
79,1: Downtown,Work,0
80,1: Downtown,Work,0
81,1: Downtown,Work,0
82,1: Downtown,Work,0
83,1: Downtown,Work,0
84,1: Downtown,Work,19
85,1: Downtown,Work,0
86,1: Downtown,Work,0
87,1: Downtown,Work,0
88,1: Downtown,Work,7
89,1: Downtown,Work,0
90,1: Downtown,Work,0
91,1: Downtown,Work,0
92,1: Downtown,Work,0
93,1: Downtown,Work,0
94,1: Downtown,Work,0
95,1: Downtown,Work,0
96,1: Downtown,Work,0
97,1: Downtown,Work,0
98,1: Downtown,Work,0
99,1: Downtown,Work,0
100,1: Downtown,Work,0
1,2: Central,Work,0
2,2: Central,Work,0
3,2: Central,Work,0
4,2: Central,Work,0
5,2: Central,Work,0
6,2: Central,Work,0
7,2: Central,Work,0
8,2: Central,Work,0
9,2: Central,Work,0
10,2: Central,Work,0
11,2: Central,Work,0
12,2: Central,Work,0
13,2: Central,Work,0
14,2: Central,Work,0
15,2: Central,Work,0
16,2: Central,Work,0
17,2: Central,Work,0
18,2: Central,Work,0
19,2: Central,Work,0
20,2: Central,Work,0
21,2: Central,Work,0
22,2: Central,Work,0
23,2: Central,Work,0
24,2: Central,Work,0
25,2: Central,Work,0
26,2: Central,Work,0
27,2: Central,Work,0
28,2: Central,Work,0
29,2: Central,Work,0
30,2: Central,Work,0
31,2: Central,Work,0
32,2: Central,Work,0
33,2: Central,Work,0
34,2: Central,Work,0
35,2: Central,Work,0
36,2: Central,Work,0
37,2: Central,Work,0
38,2: Central,Work,0
39,2: Central,Work,0
40,2: Central,Work,0
41,2: Central,Work,0
42,2: Central,Work,0
43,2: Central,Work,0
44,2: Central,Work,0
45,2: Central,Work,0
46,2: Central,Work,0
47,2: Central,Work,0
48,2: Central,Work,0
49,2: Central,Work,0
50,2: Central,Work,0
51,2: Central,Work,0
52,2: Central,Work,0
53,2: Central,Work,0
54,2: Central,Work,0
55,2: Central,Work,5
56,2: Central,Work,1
57,2: Central,Work,5
58,2: Central,Work,3
59,2: Central,Work,1
60,2: Central,Work,0
61,2: Central,Work,0
62,2: Central,Work,1
63,2: Central,Work,0
64,2: Central,Work,0
65,2: Central,Work,0
66,2: Central,Work,0
67,2: Central,Work,0
68,2: Central,Work,0
69,2: Central,Work,0
70,2: Central,Work,0
71,2: Central,Work,0
72,2: Central,Work,0
73,2: Central,Work,0
74,2: Central,Work,0
75,2: Central,Work,0
76,2: Central,Work,0
77,2: Central,Work,0
78,2: Central,Work,0
79,2: Central,Work,0
80,2: Central,Work,0
81,2: Central,Work,1
82,2: Central,Work,0
83,2: Central,Work,0
84,2: Central,Work,0
85,2: Central,Work,0
86,2: Central,Work,0
87,2: Central,Work,0
88,2: Central,Work,0
89,2: Central,Work,1
90,2: Central,Work,0
91,2: Central,Work,0
92,2: Central,Work,1
93,2: Central,Work,0
94,2: Central,Work,0
95,2: Central,Work,0
96,2: Central,Work,0
97,2: Central,Work,0
98,2: Central,Work,0
99,2: Central,Work,0
100,2: Central,Work,0
1,3: North City,Work,0
2,3: North City,Work,0
3,3: North City,Work,0
4,3: North City,Work,0
5,3: North City,Work,0
6,3: North City,Work,0
7,3: North City,Work,0
8,3: North City,Work,0
9,3: North City,Work,0
10,3: North City,Work,0
11,3: North City,Work,0
12,3: North City,Work,0
13,3: North City,Work,0
14,3: North City,Work,0
15,3: North City,Work,0
16,3: North City,Work,0
17,3: North City,Work,0
18,3: North City,Work,0
19,3: North City,Work,0
20,3: North City,Work,0
21,3: North City,Work,0
22,3: North City,Work,0
23,3: North City,Work,0
24,3: North City,Work,0
25,3: North City,Work,0
26,3: North City,Work,0
27,3: North City,Work,0
28,3: North City,Work,0
29,3: North City,Work,0
30,3: North City,Work,0
31,3: North City,Work,0
32,3: North City,Work,1
33,3: North City,Work,0
34,3: North City,Work,2
35,3: North City,Work,0
36,3: North City,Work,0
